trans_a, trans_b, m, n, k, A_data_type, lda, stride_a, B_data_type, ldb, stride_b, C_data_type, ldc, stride_c, compute_type, batch_count, algo_index
N,N,2304,3,768,f16_r,2304,0,f16_r,768,0,f16_r,2304,0,f32_r,1,97842
N,N,2304,3840,768,f16_r,2304,0,f16_r,768,0,f16_r,2304,0,f32_r,1,97900
N,N,3072,3,768,f16_r,3072,0,f16_r,768,0,f16_r,3072,0,f32_r,1,97842
N,N,3072,3840,768,f16_r,3072,0,f16_r,768,0,f16_r,3072,0,f32_r,1,97900
N,N,768,3,3072,f16_r,768,0,f16_r,3072,0,f16_r,768,0,f32_r,1,97336
N,N,768,3,768,f16_r,768,0,f16_r,768,0,f16_r,768,0,f32_r,1,97841
N,N,768,3840,3072,f16_r,768,0,f16_r,3072,0,f16_r,768,0,f32_r,1,96504
N,N,768,3840,768,f16_r,768,0,f16_r,768,0,f16_r,768,0,f32_r,1,95851
