image,concurrency,stage0_rps,stage15_rps,stage2_rps,stage2_vs_stage0_pct,stage2_vs_stage15_pct,stage15_p50_ms,stage2_p50_ms,stage2_p50_vs_stage15_pct,stage2_gpu_util_avg,stage2_peak_allocated_delta_mib,stage2_average_batch_images
small_448,1,45.71014753121603,54.69107957887723,53.65819211677608,17.38792153346744,-1.8885848845084263,17.948678694665432,17.507326789200306,-2.4589659939497466,21.09259259259259,201.55859375,1.0
small_448,32,213.6546901583445,423.1182017123433,409.48551784625903,91.65763107881213,-3.2219563731631817,74.71718033775687,75.92469919472933,1.6161194139204582,69.68141592920354,1998.56591796875,32.0
small_448,64,227.8325277381684,491.46908506108184,480.558722705308,110.92630076842221,-2.219948860957921,128.70768317952752,130.9788771905005,1.7646141666655568,82.69072164948453,4362.74951171875,63.701298701298704
1080p,1,39.736097571809296,53.28860645434084,51.11565434837919,28.63783177501331,-4.07770488016701,18.429982010275126,18.094142200425267,-1.8222470844660665,29.9468085106383,428.99755859375,1.0
1080p,32,99.869008155434,183.7327904549565,171.41174160201922,71.63657151299392,-6.705960771851382,172.86166991107166,175.1417894847691,1.3190428941652899,74.2948717948718,4277.3359375,32.0
1080p,64,93.73274676254327,195.6378356707247,188.1170297408534,100.69509988586746,-3.8442491985698823,324.7525030747056,326.89827284775674,0.6607400259383223,83.60655737704919,8430.2568359375,64.0
2k_1440p,1,31.035855367326597,52.84885539469116,46.07761393860812,48.4657451623419,-12.812465673122663,18.788366112858057,18.4985832311213,-1.5423527516766788,28.895522388059703,429.0224609375,1.0
2k_1440p,32,99.80176786235856,170.76325800219166,167.74774468542918,68.08093511607751,-1.765902895061755,181.93719838745892,182.61801195330918,0.3742025115723635,72.08928571428571,4276.75,32.0
2k_1440p,64,98.72264100322215,183.25774462964762,182.08913089618267,84.44515771234235,-0.6376885930941989,345.53485037758946,347.0089081674814,0.42660177064084426,82.46308724832215,8429.7060546875,64.0
