image,raw_width,raw_height,target_width,target_height,input_patches,output_tokens,concurrency,requests,request_per_second,image_per_second,rt_mean_ms,rt_p50_ms,rt_p95_ms,rt_p99_ms,gpu_util_avg,gpu_util_p95,gpu_util_max,peak_allocated_mib,peak_allocated_delta_mib,peak_nvml_used_mib,peak_nvml_delta_mib,average_batch_images,maximum_batch_images,external_busy_samples
small_448,448,448,448,448,1024,258,1,537,53.65819211677608,53.65819211677608,18.633956864850813,17.507326789200306,17.941100616008043,63.680081348865755,21.09259259259259,24.0,24.0,2012.8974609375,201.55859375,4000.4375,242.0,1.0,1,0
small_448,448,448,448,448,1024,258,32,4096,409.48551784625903,409.48551784625903,78.13066603068819,75.92469919472933,77.34473946038634,194.10400465130806,69.68141592920354,82.0,83.0,3887.40478515625,1998.56591796875,6278.4375,2448.0,32.0,32,0
small_448,448,448,448,448,1024,258,64,4905,480.558722705308,480.558722705308,132.16662935800585,130.9788771905005,135.07508914917707,155.94447003677487,82.69072164948453,97.0,99.0,6331.58837890625,4362.74951171875,9438.4375,5372.0,63.701298701298704,64,0
1080p,1920,1080,896,504,2304,578,1,512,51.11565434837919,51.11565434837919,19.56121772491315,18.094142200425267,18.71508660260588,22.8413067013025,29.9468085106383,37.0,37.0,2246.58642578125,428.99755859375,4300.4375,526.0,1.0,1,0
1080p,1920,1080,896,504,2304,578,32,1728,171.41174160201922,171.41174160201922,186.64693359999177,175.1417894847691,194.35122681315988,661.6541135543957,74.2948717948718,100.0,100.0,6269.6748046875,4277.3359375,19084.5625,14526.0,32.0,32,0
1080p,1920,1080,896,504,2304,578,64,1920,188.1170297408534,188.1170297408534,340.1093606458744,326.89827284775674,413.48377286922187,521.7055454291403,83.60655737704919,100.0,100.0,10602.220703125,8430.2568359375,15952.5625,11486.0625,64.0,64,0
2k_1440p,2560,1440,896,504,2304,578,1,461,46.07761393860812,46.07761393860812,21.700257863728186,18.4985832311213,19.081950187683105,118.89987466856799,28.895522388059703,38.0,38.0,2246.611328125,429.0224609375,4334.4375,564.0,1.0,1,0
2k_1440p,2560,1440,896,504,2304,578,32,1696,167.74774468542918,167.74774468542918,190.73120474497972,182.61801195330918,187.43119691498578,593.279021512717,72.08928571428571,100.0,100.0,6268.7138671875,4276.75,9444.4375,4978.0,32.0,32,0
2k_1440p,2560,1440,896,504,2304,578,64,1856,182.08913089618267,182.08913089618267,351.36024829462883,347.0089081674814,364.58149657119066,460.049472306855,82.46308724832215,100.0,100.0,10601.669921875,8429.7060546875,15140.4375,10314.0,64.0,64,0
