image,raw_width,raw_height,target_width,target_height,input_patches,output_tokens,concurrency,requests,request_per_second,image_per_second,rt_mean_ms,rt_p50_ms,rt_p95_ms,rt_p99_ms,gpu_util_avg,gpu_util_p95,gpu_util_max,peak_allocated_mib,peak_allocated_delta_mib,peak_nvml_used_mib,peak_nvml_delta_mib,average_batch_images,maximum_batch_images,external_busy_samples
small_448,448,448,448,448,1024,258,1,547,54.69107957887723,54.69107957887723,18.276883730191525,17.948678694665432,19.22540357336402,19.463765174150467,21.125925925925927,24.0,24.0,1844.3212890625,32.982421875,3774.4375,32.0,1.0,1,0
small_448,448,448,448,448,1024,258,32,4256,423.1182017123433,423.1182017123433,75.07626721545742,74.71718033775687,75.82129072397947,77.22973788622767,72.872,82.0,83.0,3019.2607421875,1130.421875,6272.4375,2446.0,32.0,32,0
small_448,448,448,448,448,1024,258,64,4928,491.46908506108184,491.46908506108184,128.89121986697685,128.70768317952752,130.85509967058897,134.2946032155305,84.52688172043011,97.0,98.0,4228.6982421875,2259.859375,8794.4375,4812.0,64.0,64,0
1080p,1920,1080,896,504,2304,578,1,533,53.28860645434084,53.28860645434084,18.758303846632728,18.429982010275126,19.453781191259623,20.333041287958586,31.992424242424242,37.0,37.0,1892.42431640625,74.83544921875,3884.4375,122.0,1.0,1,0
1080p,1920,1080,896,504,2304,578,32,1856,183.7327904549565,183.7327904549565,173.545901494749,172.86166991107166,176.0202714940533,185.4622681159526,81.78676470588235,100.0,100.0,4533.0732421875,2540.734375,9480.4375,5552.0,32.0,32,0
1080p,1920,1080,896,504,2304,578,64,1984,195.6378356707247,195.6378356707247,325.53566978787137,324.7525030747056,328.0184344155714,347.0234328741208,84.20496894409938,100.0,100.0,7252.5576171875,5080.59375,15142.4375,10860.0,64.0,64,0
2k_1440p,2560,1440,896,504,2304,578,1,529,52.84885539469116,52.84885539469116,18.915446536766897,18.788366112858057,19.632092211395502,20.328111853450537,32.70198675496689,37.0,37.0,1893.96337890625,76.37451171875,3856.4375,96.0,1.0,1,0
2k_1440p,2560,1440,896,504,2304,578,32,1728,170.76325800219166,170.76325800219166,186.68456063622014,181.93719838745892,185.56936434470117,398.8897782936692,78.60810810810811,100.0,100.0,4533.8310546875,2541.4921875,9336.4375,5408.0,32.0,32,0
2k_1440p,2560,1440,896,504,2304,578,64,1856,183.25774462964762,183.25774462964762,347.3840030760741,345.53485037758946,354.2347237234935,367.30157050769776,81.35333333333334,100.0,100.0,7252.6826171875,5080.34375,15192.4375,11084.0,64.0,64,0
